日本語,English,中文,한국語,,タグ説明

43:EV021:0,,,,,
おい、まだ終わってねぇだろ,,,,,
まさか途中で辞めるなんてぬかすんじゃねぇだろうな,,,,,
頑張ります,,,,,
辞めたいです,,,,,
まだできます,,,,,
よし、さっさと仕事に戻れ,,,,,
この仕事、私に向いていないみたいです,,,,,
ったく…最近のわけぇヤツは……,,,,,
ヤワで困ったもんだぜ,,,,,
仕方ねぇ…んじゃ好きにしろ！,,,,,
報酬はギルドの規約通り、なしだからな,,,,,
商工会の求人を見てきました,,,,,
お仕事を募集しているそうで,,,,,
仕事？今日はもう終いだ,,,,,
来るなら日が落ちる前に着てくれよ,,,,,
おう、人手が足りてなくてな,,,,,
仕事は清掃だ、女湯も男湯も両方やってもらうぜ,,,,,
え……？男湯って……私が入っても大丈夫なのですか？,,,,,
その、嫌がるお客さんもいるんじゃ……,,,,,
\C[27]男湯の方は混浴\C[0]ってことになってっから平気だ,,,,,
今じゃ男湯に入る女の客はほとんどいねーが,,,,,
ま、昔の名残だな,,,,,
へぇ……そうなんですか,,,,,
にしても随分若いな,,,,,
チンポ見ることになるけど平気か？,,,,,
善処します,,,,,
\c[27]子供じゃあるまいし…,,,,,
\c[1]辞退いたします,,,,,
出来る限りの対応はしましょう,,,,,
おう、頼もしいな！,,,,,
やれやれ、子供じゃあるまいし…,,,,,
その程度、動じませんよ,,,,,
へっ、なんだい、可愛げがないねぇ,,,,,
最近の若い娘は擦れてんなァ,,,,,
そのような破廉恥,,,,,
断じて受け入れるわけにはいきません,,,,,
今回のお仕事、辞退させていただきます,,,,,
賢明な判断だな,,,,,
お前さんにゃ無理な仕事だろうよ,,,,,
商工会の求人を見てまた来ました,,,,,
おう、お前さんか、また来てくれたんだな,,,,,
よし、じゃあ早速着替えてくれや,,,,,
汚れてるところがあったらこいつで手当たり次第に,,,,,
綺麗にしていってくれ、トイレ掃除もしっかり頼むぜ,,,,,
俺はここで作業してるからよ,,,,,
あらかた終わったらここに戻ってきてくれ、じゃあ任せたぜ,,,,,

43:EV021:1,,,,,
おう、終わったか,,,,,
丁度こっちも終わったところだ、ご苦労さん,,,,,
またギルドに依頼だしとくから次も頼むぜ,,,,,
これ1枚やるよ、受け取っときな！,,,,,

43:EV022:0,,,,,
（男湯に入るなんてありえません……）,,,,,
……………,,,,,
（女湯にはないサウナ……一度使ってみたいですね）,,,,,
（一応、男湯の方は混浴ということらしいので、,,,,,
入っても問題はないはずです）,,,,,
（ルール上何も問題はありません,,,,,
堂々と行きましょう）,,,,,

43:EV024:0,,,,,
おっ、ねえちゃん、野営生活が随分長そうだな,,,,,
少しニオうぞ,,,,,
ここはもともと俺の雑貨店だったんだがな,,,,,
ギルドと協議して公共の浴場に改造したんだ,,,,,
今じゃ一大名物になって温泉目当ての観光客まで,,,,,
来るほどになったんだぜ,,,,,
ローズフォード地方は火山帯だから,,,,,
温泉がそこらじゅうで湧くんだ,,,,,
この源泉も遺構が発掘されたとほぼ同時に見つかったんだ,,,,,
探索時代の幕開けってやつだ,,,,,
この浴場は殺伐とした街の唯一の癒しだ,,,,,
ゆっくりつかっていくといい,,,,,

43:EV025:0,,,,,
\>\C[1]男湯\C[0],,,,,
\>サウナルームあり,,,,,
\>こちらは混浴も可能です、カップルで是非ご利用ください,,,,,

43:EV041:0,,,,,
うわっ、アンタ…ちょっと臭うねぇ,,,,,
さっさと風呂に入りな,,,,,
チケットならそこの看板を調べておくれ,,,,,
なんだい、風呂に入りたいならそこの看板を調べて,,,,,
チケットを買っとくれ,,,,,

43:EV041:1,,,,,
宿屋のボンクラ倅の手癖の悪さには困ったもんさ,,,,,
一度牢にぶちこまれればいいんだよ,,,,,
ロイ爺さんは甘すぎるんだよ…まったく,,,,,

43:EV041:2,,,,,
アンタ、冒険だかなんだかしらないが,,,,,
さっさと良い男を捕まえて家庭に入りな,,,,,
花の命は短いんだからね,,,,,

43:EV041:3,,,,,
どいつもこいつもアホ面下げて探索だ発掘だと,,,,,
まったくいい歳こいて馬鹿じゃあるまいか…,,,,,
そんなことより大事なのは今日の献立だよ,,,,,
アンタもそう思うだろ？,,,,,

220:EV009:0,,,,,
ねぇ…焦らさないでぇ……\I[15],,,,,
早くぅ……\I[15],,,,,

220:EV010:0,,,,,
へへっ……焦んなって……！,,,,,
ベッドでたっぷり可愛がってやるよ,,,,,

220:ラブホ:0,,,,,
ウェヒッヒ！随分とお若いお嬢さんだねぇ,,,,,
"\C[27]ご休憩""\C[0]かい？ \C[6]\V[48]G\C[0]になるよ""",,,,,
if(s[677])シモンを呼ぶ,,,,,
if(s[675])マックスを呼ぶ,,,,,
if(s[676])レグルスを呼ぶ,,,,,
「一泊お願いします」,,,,,
ちっ！文無しじゃないか！,,,,,
はい、確かに……,,,,,
ごゆっくりお楽しみ下さいな…ウェヒヒヒ！,,,,,
（さて…宿もとれたことだし,,,,,
シモンさんを呼んできましょう）,,,,,
マックスを呼んできましょう）,,,,,
レグルスを呼んできましょう）,,,,,
ヨソ行きな、ウチは一人客はとってないんだよ,,,,,
一泊お願いします…,,,,,
あ、ごはんはついてきますか？,,,,,
は？アンタ、ツレはいないようだが？,,,,,
ええ、一人です,,,,,
それが何か,,,,,
はぁ………世間知らずか、とんだ田舎モンが来たもんだ,,,,,
ウチは一人客はとってないんだ,,,,,
"\C[27]連れ込み宿""\C[0]なんでね""",,,,,
そんな…もう夜分遅く外は危険なのです,,,,,
なんとかなりませんか？,,,,,
あ～～察しの悪い小娘だねぇ！,,,,,
この音を聞きゃウチがどういう宿かわかんだろ！,,,,,
音？,,,,,
耳を澄ますと、ベッドの激しいきしみ,,,,,
そして肉同士が弾け、ぶつかり合う音が聞こえてくる…,,,,,
この音って……,,,,,
\N[1]はこの宿の意味を察した,,,,,
ほら、散った散った,,,,,
ガキのくせに盛り場に来るんじゃないよ！,,,,,

220:ラブホ:1,,,,,
アア！？ウチは連れ込み宿だよ！,,,,,
一人客はお断りだよッ！,,,,,

331:EV008:0,,,,,
（………どうしよう）,,,,,
（本当に来てしまった……こんなところまで…）,,,,,
おうっ、なにぼさっとしてんだ,,,,,
\N[1]さんよぉ,,,,,
俺もヒマじゃねんだ、さくっとヤろうぜ,,,,,
それともなんだ？怖気づいちまったか？へへへ…,,,,,
ま、地下送りが嫌だったら、,,,,,
せいぜいご奉仕しろよ,,,,,
え……ええ……わかっています,,,,,
し、失礼します………,,,,,
フーッ\I[15]フーッ\I[15],,,,,
うおっ、すんげぇケツ……,,,,,
金借りてる奴のケツがこんなデカくていいのかよ,,,,,
利息もろくに払わねぇで食った飯で,,,,,
ぶっといウンコばっかひりだしやがって……\I[15],,,,,
（余計なことをベラベラと……\I[16]）,,,,,
………\I[16],,,,,
おっ？なんだそのふてくされた態度は,,,,,
地下送りがお望みかァ？\N[1]さんよぉ,,,,,
い………いえ……！滅相もございません…！,,,,,
社会のルールってもんを教えてやらねぇとな……\I[15],,,,,
この”肉棒”でよ……\I[15],,,,,
くっ………！,,,,,
借りたモンはキッチリ返すッ！,,,,,
これが社会のルールだッ！わかったか！？,,,,,
よ～し……じゃ早速……,,,,,
え…！？ちょっと待ってください！,,,,,
アぁ？なんだァ…？,,,,,
生はダメですよ……！,,,,,
ゴムッ！ゴム着けてください！,,,,,
”新しい女”は、ナマでヤらせてくれるぜ？,,,,,
\N[1]さんはゴムありかぁ……,,,,,
こりゃあ、次からは”切る”かな,,,,,
\fs[20]……かりました,,,,,
アァ？聞こえねーぞ,,,,,
つ、着けなくて……いいです,,,,,
そうじゃねーだろ,,,,,
ちゃんとおねだりしろ,,,,,
ちゃーんと\N[1]さんに”責任”持ってもらわねーとな,,,,,
な……生で……セックスしてください……,,,,,
その代わり、外で出してくださいね……？,,,,,
約束ですよ？,,,,,
へへ、高い勉強代になったな、挿れるぜ,,,,,
い……ッ……いやッ……！約束はっ…！？,,,,,
これに懲りたら……次からは……,,,,,
ダメッ……ちゃんと外で出すって…約束を……！,,,,,
あっはぁッん\I[15],,,,,
しっかり金、用意しとくんだなァ\I[15],,,,,
（こ……こんな……無責任に……生でっ……！）,,,,,
くっ……！んっ、んっ……！,,,,,
ペニスが膣壁をかきわける度、,,,,,
\N[1]はビクンと小さく跳ね甘い吐息が漏れ出る,,,,,
おーやべっ\I[15],,,,,
口ではイヤイヤいいながら,,,,,
ギッチギチにまんこ締め付けてんじゃねーか\I[15],,,,,
そんなわけっ……ないでしょっ………！,,,,,
おいおい、何チンポで勝手に,,,,,
気持ちよくなってんだ？\I[15],,,,,
くおおっ！んっ、んっ……んんっ\I[15],,,,,
（こんな……屈辱的な体勢で犯されてるのに……！）,,,,,
（ペニスが奥を突く度に……反応してしまうっっ……！）,,,,,
オラァッ！！,,,,,
ひんっ！！！,,,,,
な、なにするんですか！,,,,,
どうもおたく、チンポがお仕置きに,,,,,
なってねぇみたいだったからな,,,,,
だからこうやって……,,,,,
ッッラァッ！！,,,,,
ひぎぃっ！！,,,,,
体をつかって教育してやらねぇと\I[15],,,,,
や……やめて……ね！？,,,,,
普通に”して”ください……！,,,,,
おうッ！？,,,,,
んにゃあぁぁ！！,,,,,
叩きがいのあるデカ尻しやがって\I[15],,,,,
借金踏み倒した上に,,,,,
セックスまで楽しんでんじゃねーぞッ！\I[15],,,,,
楽しんでなんか……ありませんっ！！！,,,,,
どうしたァァ！？,,,,,
ん”おぉ”っ\I[15],,,,,
バレバレなんだよっ！淫売がよ\I[15],,,,,
デカ尻バチバチ叩くたびにまんこ締め付けてんぞ\I[15],,,,,
それはっ………あなたが叩くからっっ！,,,,,
肉体の反射で………！！,,,,,
ずっしりと重量感のある\N[1]の尻が,,,,,
ベチベチと音を立て打ち付けられる,,,,,
じゃあこの高速腰振りはなんだァ！？,,,,,
ええ？？\I[15],,,,,
はぁぁんっ\I[15],,,,,
\N[1]は無意識のうちに腰を自ら振り、,,,,,
高速ピストンでペニスの出し入れを楽しんでいる,,,,,
アンタ自分で腰振ってるの,,,,,
バレてないとでも思ってたのか？\I[15],,,,,
それはっ………ッッッ！違ッ……！,,,,,
ケツ叩くたびにスピードアップしてんぞ,,,,,
馬かよ、変態競走馬がよ\I[15],,,,,
違っっ………あっ\I[15]あっ\I[15]あっ\I[15],,,,,
さっきから出してる,,,,,
そのいやらしい甘い喘ぎ声はなんだァ～～～！？\I[15],,,,,
んっ\I[15]はぁん\I[15]はぁん\I[15],,,,,
おらっ、正直に言え！,,,,,
はひっ\I[15]た、楽しんでますっ\I[15],,,,,
エッチっ\I[15]楽しんじゃってますっ\I[15],,,,,
馬鹿みたいに気持ちいいですっ\I[15],,,,,
うおっ、借金踏み倒した上に,,,,,
セックスまで楽しみやがって……ッ！！,,,,,
イイ身分だなァ！？おいっ！,,,,,
（抗えるわけないじゃないですか……っ！）,,,,,
\N[1]は無意識のうちに,,,,,
ペニスが奥深く突き刺さるよう腰を自ら前後させている,,,,,
\fs[40]（こんなに………気持ちいいコトっ！！）,,,,,
うおっ、メスの本性見せやがったな,,,,,
あーーーっ……やべっ、俺もそろそろ精子でそっ……,,,,,
\C[27]「中で出して」,,,,,
\C[1]「外で出して」,,,,,
あっ、あっ、ダメですよっ！？,,,,,
約束しましたよねっ！？,,,,,
絶対っ……外にっっ……！,,,,,
”新しい女”は、中出し……オッケーなんだけどなァ？,,,,,
こりゃ、次は”切る”か,,,,,
ま、待って……！待ってください！！,,,,,
中っっ……！膣内で射精してっ……いいですから…,,,,,
へへへっ……！いいんだなァ？\N[1]さんよぉ\I[15],,,,,
んっ\I[15]くぉぉ\I[15]その代わり……ッ\I[15],,,,,
高速ピストンしてッ\I[15],,,,,
全力でチンポ子宮に叩きつけてっ\I[15],,,,,
うおっっ！射精る！！！精子出るぞっ！！！,,,,,
快楽だけの無責任セックスでっ\I[15],,,,,
本気汁ナカ出ししてくださいっ\I[15],,,,,
\fs[40]ナカにっ\I[15]ザーメンくださいっっ\I[15],,,,,
うっ……！絞られるっ！！,,,,,
子宮でゴクゴク精子飲めっっ！！,,,,,
んにょぉぉ～～\I[15],,,,,
おらっ！！最後の一滴までザー汁絞れッ！！,,,,,
子宮で飲み干せっ！！！,,,,,
ドロドロの煮えたぎる熱い精子は,,,,,
痙攣する\N[1]の膣内でドクドクと吐き出される,,,,,
おほっ\I[15]おっほっぉぉ\I[15],,,,,
んんっっッ！くぉぉおぉ！イグッッ\I[15]\I[15],,,,,
ザー汁全部どっぴゅんしてくださいっっ\I[15],,,,,
ザー汁発射されてイグッッッ\I[15]\I[15],,,,,
ふぅ……やっぱ中出しすげーな,,,,,
精子の出が違うわ,,,,,
キープ決定だな、また頼むわ\I[15],,,,,
はひ……\I[15]っ……\I[15],,,,,
ま、ガキ出来ても知らねーけどな,,,,,
テメェで面倒見ろよ\I[15],,,,,
デカ尻で精子絞られるっ……！精子っっ！！,,,,,
だ、だめっ！中はだめですよ……！！,,,,,
うおっっ！射精る！！！精子出るっ！！！,,,,,
\fs[40]ダメっっっ\I[15]外っっ\I[15],,,,,
うっ……！精子止まんねっ！！,,,,,
セックスの余韻に打ち震える\N[1]の肉体を汚した,,,,,
ふぅ……めちゃくちゃ出たわ,,,,,
ま、新しい女に比べると融通は効かねぇが……,,,,,
セックスはめちゃくちゃ好きなタイプみたいだな,,,,,
キープしといてやるわ、\N[1]さん,,,,,
はひ……\I[15]ありがとうごらいまふ……\I[15],,,,,
ったく、こりゃあ次も踏み倒す気マンマンだな\I[15],,,,,

333:EV003:0,,,,,
もっと体つきがイイ奴はいないのか？,,,,,
こいつらでは少し心許ないな,,,,,

333:受付:0,,,,,
脱走者だッ！捕まえろッ！！,,,,,
当オークションでは盗品から、人間まで,,,,,
市場に流せないいわくつきの一品を取り扱っております,,,,,
存分にお楽しみください,,,,,

333:EV005:0,,,,,
烏合の衆だった追放者達を一つにまとめ上げて,,,,,
違法物品のオークションで、地上の金持ちも巻き込み,,,,,
この街を発展させたのは”ウル”って男だ,,,,,
だが、今奴はどこで何をやっているのか,,,,,
知るものは誰もいない,,,,,

333:受付:0,,,,,
奴隷はお買い上げだけでなく、,,,,,
1日のみのレンタルも可能ですよ,,,,,
どう扱って頂いても、お客様のご自由です,,,,,
プレイルームもこちらでご用意しておりますので、,,,,,
是非一度、お試しください,,,,,

333:受付:0,,,,,
レディース・エン・ジェントルメン！,,,,,
本日のプレミアム・ナイト・オークションも,,,,,
いよいよ大詰め！,,,,,
本日、ご紹介する最後の商品は～,,,,,
こちらァ！,,,,,
金髪碧眼、透き通るような柔肌の物憂げな美少女,,,,,
\N[1]でございまぁ～す！,,,,,
ご覧ください！この発達した筋肉！,,,,,
まるで芸術品のような四肢でございます！,,,,,
ご覧ください！このしなやかな四肢！,,,,,
相当な技術を持ったテクニシャンでございます！,,,,,
写真をご覧ください！この聡明な顔！,,,,,
磨き上げられた知性が垣間見えます！,,,,,
彼女は何と言ってもとにかく口が達者！,,,,,
この話術は、値千金の価値がありますよ！,,,,,
ご覧ください！この女神のような美貌！！,,,,,
有無を言わさぬ圧倒的な美！！,,,,,
くっ……！,,,,,
おお、”デカい”な……,,,,,
見栄えは悪くない……問題は中身だ,,,,,
ではァ、商品概要を簡単に,,,,,
説明をさせて頂きます,,,,,
レイダーから奴隷へと身をやつし、,,,,,
現在地下労働施設で採掘作業に,,,,,
従事しております,,,,,
落札されましたら何なりとご自由に,,,,,
お使いくださいませェ\I[15],,,,,
”何でも”ねぇ……\I[15],,,,,
尻穴の洗浄でもさせるか……\I[15],,,,,
では、お次は商品状態をご紹介します,,,,,
胸のサイズ感、乳首、乳輪の状態は,,,,,
このようになっておりまぁす,,,,,
（っ……や……やだっっ……！）,,,,,
デカブラから湯気立ってる\I[15]エッッロ\I[15],,,,,
4人の中で一番デカいか……？\I[15],,,,,
そして、気になる性器の使用状態ですが、,,,,,
なんと\C[6]未使用新品の処女\C[0]でございます！！,,,,,
本当か！？,,,,,
この若さと可愛さで処女とな！？,,,,,
おそらく1番人気だろうな……,,,,,
まっさらな純白の彼女を,,,,,
皆様の手で好みに染め上げてくださいませ……\I[15],,,,,
そして、気になる性器の使用状態ですが,,,,,
残念ながら中古品ではあるものの大変美品でございます！,,,,,
処女だと高くなるしな……,,,,,
開発された性器を,,,,,
是非お楽しみくださいませ……\I[15],,,,,
おら\I[15] 肝心のおまんこ見せろやっ！\I[15],,,,,
勿体ぶってんじゃねッッぞ！,,,,,
おまんこだよ！おまんこ！\I[16],,,,,
（な……何なんですか……,,,,,
何を言っているの……！？）,,,,,
（この人たち……っ！狂ってる……！）,,,,,
ちょっと！お客様！,,,,,
ご冷静に、ご冷静に！,,,,,
ここはオークション！,,,,,
紳士の集う社交場ですよ！\I[16],,,,,
そのような下劣な,,,,,
わいせつ行為は……！,,,,,
（あ……当たり前でしょう……！）,,,,,
\fs[35]やってもいいんですッッ！\I[15],,,,,
（あっっ……ぁ……！！）,,,,,
（やだっ……やだやだやだっ！！）,,,,,
なぜならここは地下だからッ！,,,,,
ここは法も無ければ、衛兵もいない！,,,,,
これが自由の世界ですッッ！,,,,,
地上で生娘丸裸にして,,,,,
パイパン見物したら逮捕モンですから,,,,,
気を付けてくださいね、皆さん\I[15],,,,,
見えた見えた\I[15]肉厚おまんこ\I[15],,,,,
レイプしてぇ～\I[15],,,,,
大変大きなご反響をいただきました！,,,,,
ありがとうございます！ありがとうございます！,,,,,
ではぁ……彼女を丸裸にしたところで、,,,,,
肉体遍歴の方も丸裸にしていきましょうか\I[15],,,,,
我々の情報網を使った内偵調査によると,,,,,
彼女は\C[6]特別なパートナー\C[0]がいる模様ですねぇ,,,,,
（な、なぜそれを……！？）,,,,,
彼女の心中には、将来を誓いあった恋人がいる……,,,,,
是非、新しいご主人様の手で、彼女の体を蹂躙し,,,,,
塗りつぶしてくださいませ……\I[15],,,,,
彼氏とは絶対ヤラないようなプレイで……\I[15],,,,,
うおっ……もう我慢できん……！！,,,,,
彼女には\C[6]特別なパートナー\C[0]はいないようですね,,,,,
是非とも、ご主人様が彼女の心と体の穴を,,,,,
埋めてあげてくださいませ……\I[15],,,,,
そして気になる性癖ですが……,,,,,
朗報です、自慰が大好きな模様です\I[15],,,,,
夜な夜な一人でいたしているところを,,,,,
看守が目撃しているという情報が入っておりまぁす！,,,,,
なんと！肛門に興味津々な模様………\I[15],,,,,
夜な夜な一人で肛門に異物を挿入して楽しんでいると,,,,,
看守から情報が入っておりまぁす！,,,,,
玩具に興味津々な模様………\I[15],,,,,
夜な夜な一人で手製の玩具で楽しんでいると,,,,,
フェラチオが大変得意なようで……\I[15],,,,,
彼女の口技は相当なものだと,,,,,
周辺から情報が入ってきておりまぁす！,,,,,
どうやら地上では結構な回数,,,,,
ウリをしてたみたいですねぇ……\I[15],,,,,
彼女は簡単に股を開くと,,,,,
地上では露出行為をしていたという目撃情報が,,,,,
多数入ってきておりまぁす！,,,,,
どうやら今の状況、彼女は楽しんでいるようで,,,,,
よかったですね\I[15],,,,,
その筋から、ザーメン飲まされるのが大好きだという,,,,,
情報が入ってきておりまぁす！,,,,,
可愛い顔してなかなかの玄人ですねぇ\I[15],,,,,
ザーメンごっくんとは……\I[15],,,,,
人並みにセックスはしているようですが,,,,,
まだまだ経験はそれほどないようですねぇ,,,,,
これから開発していく楽しみ……,,,,,
是非味わってくださいませ\I[15],,,,,
彼女とヤったという男は結構いるようです\I[15],,,,,
これはもしかしたら,,,,,
結構なヤリマンかもしれませんね\I[15],,,,,
かなりのヤリマンという情報が入ってきました\I[15],,,,,
かなりの経験人数行ってると思われます\I[15],,,,,
これは人を選ぶかもしれませんねぇ？\I[15],,,,,
なんと……中出しオッケー娘という,,,,,
情報が入ってきていまぁす！！,,,,,
既に経産婦かもしれないという噂も……\I[15],,,,,
街中で彼女が漏らしているのを見たという,,,,,
情報が入ってきておりまぁす！！,,,,,
う～ん、もしかしたら”わざと”なのかも,,,,,
かもしれませんねぇ……\I[15],,,,,
んん……？特に情報は入ってきていませんねぇ……,,,,,
まだ、ローズフォードでの活動歴が,,,,,
浅いのかもしれません、う～ん残念,,,,,
さぁ、全ての商品商会が終わったところで,,,,,
早速競っていきましょう！,,,,,
本日の品は、ご紹介いたしました,,,,,
4人の奴隷の中から一人、選んでいただき,,,,,
1日自由にできる権利でございます……\I[15],,,,,
\C[27]プレイルーム\C[0]は、,,,,,
こちらで準備いたしますので……\I[15],,,,,
文字通り、NGプレイは一切ありません……\I[15],,,,,
貴方の意中の彼女をご自由に扱いください…\I[15],,,,,
さぁ！競った！競ったァ！,,,,,
はいっ！そちらのお客様で決まり！,,,,,
落札おめでとうございますっ！,,,,,
選\.ば\.れ\.た\.娘\.は\.～\.っ\.？,,,,,
商品番号53番ッ！！,,,,,
\N[1]ちゃん～～～～っ！\I[15],,,,,
え……？う…うそ………,,,,,
い、いや…………！,,,,,
落札者様は\C[27]プレイルーム\C[0]へ,,,,,
ご案内いたしまぁす！,,,,,
それではごゆっくりお楽しみください……\I[15],,,,,
やだぁぁぁぁぁぁーーー！！！！,,,,,
商品番号45番ッ！！,,,,,
クラウディアちゃんでしたァ～～～！,,,,,
ぶひひっ\I[15],,,,,
金髪のボインちゃんと迷ったんだけどねぇ…\I[15],,,,,
商品番号25番ッ！！,,,,,
エミリアちゃんでしたァ～～～！,,,,,
ふぉっふぉっ\I[15],,,,,
やはり、熟れた熟女でないとなァ……\I[15],,,,,
商品番号11番ッ！！,,,,,
コレットちゃんでしたァ～～～！,,,,,
ハァハァッッ\I[15],,,,,
はやく抱かせろッ\I[15]漏れそうッッ\I[15],,,,,
商品番号72番ッ！！,,,,,
メリッサちゃんでしたァ～～～！,,,,,
フヒッッ\I[15],,,,,
便所ッッッ\I[15]便所にしてやるッ\I[15],,,,,
商品番号8番ッ！！,,,,,
コーネリアちゃんでしたァ～～～！,,,,,
キメセクッ\I[15]キメセクすんぞッ\I[15],,,,,
商品番号78番ッ！！,,,,,
フレアちゃんでしたァ～～～！,,,,,
うっ……\I[15]絶対孕ませるぞ……\I[15],,,,,
お、恐ろしい催しでした……,,,,,

333:受付:1,,,,,
ちんちんおっ勃てたみんな～！,,,,,
お待たせ～～！,,,,,
こちらだよぉ！,,,,,
メランコリックでダウナーな女の子,,,,,
すっごい可愛いよね～\I[15],,,,,
この娘が今晩、アナタに奉仕してくれるかもぉ？？,,,,,
やだ～\I[15]ブラジャーかわい～\I[15],,,,,
こんな可愛いデカブラ、珍しいよね～\I[15],,,,,
”尻”もいいな……\I[15],,,,,
太ももで絞め殺せそう\I[15],,,,,
はーい、商品概要,,,,,
さっさとするねー,,,,,
記憶喪失？経歴不明？,,,,,
なんだか背景はよくわかんないみたい,,,,,
\N[1]ちゃんか……か、可愛いな……！,,,,,
おっぱいもデカい！もっと近くで見せてくれっ！！,,,,,
おいッ！司会ッ！,,,,,
被るなッ！お前じゃ勃たねーんだよ！,,,,,
あ”？\I[16],,,,,
ん”ん”っ……ゴホンッ……！,,,,,
は～い、じっくりご覧になってくださいね～\I[15],,,,,
\fs[23]お”い”……ホルスタイン女ッ……\I[16],,,,,
いい気になってんじゃね～～ぞッ……\I[16],,,,,
ごめ～～～ん\I[15],,,,,
手が滑っちゃったぁ～～\I[15],,,,,
キヒヒッ…！\I[15],,,,,
おっぱいおっきい子って,,,,,
やっぱ乳輪もデカいんだね～\I[15],,,,,
やだぁ～\I[15]汗でムレッムレ\I[15],,,,,
デカブラすっごい湿ってるぅ\I[15],,,,,
うおっっ！よくやった！！,,,,,
エッッロ\I[15],,,,,
キヒッ…！\I[15],,,,,
\N[1]ちゃんのクソデカ乳輪……,,,,,
いっぱい”使って”あげてね～\I[15],,,,,
ちなみに\N[1]ちゃん,,,,,
こんなエロ体してて\C[6]処女\C[0]だそうで～す\I[15],,,,,
まことかッ！？,,,,,
大切にとっておいた処女……\I[15],,,,,
性欲だけのセックスで,,,,,
食い散らかしてあげてね～\I[15],,,,,
\N[1]ちゃん,,,,,
このドスケベボディで結構男食ってるみたい\I[15],,,,,
ま、処女だと高くなるしな,,,,,
お・ま・ん・こ！お・ま・ん・こ！\I[16],,,,,
うっわ、おじさん、サイテ～～\I[15],,,,,
風紀を乱さないで下さーい\I[15],,,,,
\fs[22]や……やめてくださいっ……！お願いします…！,,,,,
\fs[22]それだけは………どうか……！,,,,,
\fs[22]ふ～～ん、しょうがないなぁ～,,,,,
\fs[22]ま、同じ女として哀れだし、,,,,,
見逃してやるわ,,,,,
\fs[22]あ……ありがとうございます……！,,,,,
ごめんね～～～？\I[15]皆～\I[15],,,,,
”中身”を見れるのは、落札者だけで～す\I[15],,,,,
ケッ……使えねー司会だッ……！,,,,,
チッ……！焦らしやがって……！,,,,,
\fs[22]………なわけねーだろ\I[15],,,,,
うっ……おおぉおぉぉぉぉおッッ！,,,,,
いいぞぉぉ！司会ッッ！！！,,,,,
すんげー肉厚まんこっ\I[15],,,,,
しかもパイパンッ\I[15],,,,,
あ～～～ん\I[15],,,,,
この娘、パンツのクロッチ、ぐっちょぐちょに,,,,,
濡れてるんですけどー\I[15],,,,,
キヒッ！\I[15]キヒヒヒッ！\I[15],,,,,
ウケる～～～\I[15],,,,,
もしかして、人前で裸に剥かれて,,,,,
興奮しちゃった？\I[15],,,,,
おっ、追加情報もありますねぇ\I[15],,,,,
内偵調査によると,,,,,
この娘、\C[6]彼氏\C[0]いるみたい\I[15],,,,,
（ッ……どこからそんな情報を……ッ！？）,,,,,
彼氏クンには悪いけどぉ～……,,,,,
思いっきり汚して、蹂躙しちゃってください\I[15],,,,,
彼氏とは絶対ヤラないようなプレイでね……\I[15],,,,,
この娘、\C[6]彼氏\C[0]いないみたい\I[15],,,,,
ま、こういう真面目系が,,,,,
ヤリマンだったりするんだよねぇ\I[15],,,,,
は～～い、これで紹介は全部終わったね？,,,,,
じゃ、サクサク、競り、入ってこっか,,,,,
本日の品は、ご紹介した4人の,,,,,
肉便……女の子の中から一人、選んで,,,,,
1日自由にできる権利でーす\I[15],,,,,
文字通り、NGプレイは一切ありませーん\I[15],,,,,
貴方の意中の娘を、犯しちゃってくださーい\I[15],,,,,
落札おめでとう～～～っ！\I[15],,,,,
ケヒヒッ！,,,,,
それではごゆっくりお楽しみくださ～い\I[15],,,,,

333:受付:2,,,,,
アー、アー、マイクのチェック中……,,,,,
お待たせいたしました,,,,,
本日ご紹介する最後の商品はこちら,,,,,
クールフェイスとダイナマイトボディ,,,,,
奇跡のコラボ、\N[1]でございます,,,,,
おお、なんてドスケベボディ……！,,,,,
油断できん、写真詐欺の場合もあるぞ,,,,,
では、商品概要をさせて頂きます,,,,,
クールで寡黙なフェイスに似合わぬ,,,,,
この爆裂ボディ！,,,,,
見てください、この太もも！尻！,,,,,
ほら、もう今にもセックスが始まりそうでしょ！？,,,,,
ふともも太いね\I[15],,,,,
今、レギンスから”ムチムチ”って,,,,,
音が聞こえたぞ\I[15],,,,,
モデル体型？ノンノン……,,,,,
貧相な女なんてつまらないですよ、お客さん,,,,,
精子出すなら……断然、こっち！,,,,,
オスならデカ尻にチンポ突き立てて征服しなきゃ,,,,,
スペックはB100、W60、H100,,,,,
実物はこのようになっております,,,,,
ブラのサイズもすげーぞっ\I[15],,,,,
4人の中で一番デカいな、間違いない,,,,,
いかがでしょうか？,,,,,
綺麗なピンク色の乳首でしょう？,,,,,
ぷっくり浮き出たパフィーニップル,,,,,
今にも吸い付きたくなりますね,,,,,
下は……！\I[15]下はどうなってんだいッ\I[15],,,,,
んあぁ、焦らないで、お客様,,,,,
性器はこのようになっております,,,,,
おや？陰毛が生え散らかしてますね,,,,,
仕様書では、パイパンとのこと,,,,,
だったのですが…,,,,,
どうやら、ここでの期間が結構長かったせいで,,,,,
生えてきてしまったようですね,,,,,
っっ……！！,,,,,
すんげぇボーボー\I[15],,,,,
